代码,名称,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24
801219.SI,酒店餐饮,55,66,55,66,44,44,66,11,88,88,88,88,88,100,100,100,100,88,100,100,100,100,88,77,77,44,88,55,22
801218.SI,专业服务,20,30,16,20,17,17,24,13,20,27,41,48,62,65,82,89,93,89,93,93,93,93,86,89,86,44,55,48,41
801217.SI,本地生活服务Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801216.SI,体育Ⅱ,0,0,0,0,0,0,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,0
801207.SI,旅游零售Ⅱ,50,100,0,50,50,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,0,0,0,0,0,0,0
801206.SI,互联网电商,61,66,38,33,38,33,50,22,61,50,61,55,77,77,77,83,94,94,94,88,94,94,77,66,73,16,50,38,38
801204.SI,专业连锁Ⅱ,28,85,57,42,57,42,57,14,42,42,85,100,100,100,100,100,100,85,85,100,100,71,57,57,57,28,28,28,28
801203.SI,一般零售,67,83,52,53,40,33,53,11,35,58,85,83,85,93,91,93,91,85,96,95,98,88,76,83,87,51,70,48,37
801202.SI,贸易Ⅱ,25,58,8,16,16,16,41,25,50,50,83,83,91,91,100,100,100,91,91,91,91,83,83,91,83,58,83,58,33
801183.SI,房地产服务,36,72,36,25,25,25,41,16,50,58,83,75,83,91,91,100,91,91,100,91,100,83,75,83,87,66,83,66,41
801181.SI,房地产开发,52,64,34,34,24,31,48,16,51,56,71,66,75,79,82,91,92,89,91,90,95,92,81,84,82,42,77,57,36
801992.SI,航运港口,70,64,61,67,70,70,85,76,88,88,91,94,94,97,97,97,91,64,76,61,67,58,44,58,64,58,58,58,64
801991.SI,航空机场,33,33,33,33,41,33,66,41,58,66,100,100,100,100,100,100,91,66,66,25,33,16,0,16,8,0,8,0,0
801179.SI,铁路公路,87,87,84,84,81,72,78,54,69,75,90,87,93,93,87,72,63,42,60,42,54,36,30,42,39,21,24,18,21
801178.SI,物流,68,70,53,36,40,34,42,25,40,53,70,68,80,82,82,82,80,78,87,82,82,80,74,78,74,48,63,65,46
801163.SI,燃气Ⅱ,62,62,55,60,53,53,64,50,57,46,64,57,75,82,85,92,85,67,92,85,71,67,64,71,75,50,57,53,53
801161.SI,电力,26,30,47,70,70,77,85,55,70,61,85,69,85,88,89,87,80,73,77,69,66,55,33,31,24,14,17,11,16
801156.SI,医疗服务,90,92,60,62,54,50,52,27,49,47,49,37,47,47,72,82,74,98,100,98,98,96,98,96,84,78,92,82,54
801153.SI,医疗器械,69,74,44,43,32,29,31,17,30,29,43,44,59,71,79,83,75,89,87,86,88,90,89,87,86,55,84,64,37
801154.SI,医药商业,87,96,84,81,59,46,62,25,53,50,65,62,78,87,90,68,65,81,87,90,84,90,84,84,75,62,81,37,21
801152.SI,生物制品,92,94,54,62,52,47,39,15,29,27,31,33,35,45,64,64,43,90,94,94,92,94,90,86,80,60,96,72,37
801155.SI,中药Ⅱ,89,92,77,69,66,66,69,42,59,54,66,54,77,81,83,57,46,78,80,80,75,80,75,72,66,43,68,33,18
801151.SI,化学制药,92,92,57,49,38,36,40,10,26,16,29,22,34,43,55,56,52,87,88,91,91,94,89,90,87,73,91,60,34
801145.SI,文娱用品,31,50,22,30,25,5,30,5,20,20,60,50,65,85,90,95,95,90,100,95,95,95,95,95,100,55,90,75,45
801142.SI,家居用品,37,50,29,20,13,15,23,12,17,24,49,41,60,69,84,90,90,84,90,88,93,88,81,84,86,65,80,70,58
801141.SI,包装印刷,34,36,21,15,15,10,20,12,22,35,40,40,55,72,85,92,90,95,92,92,95,90,82,90,85,42,55,57,40
801143.SI,造纸,39,43,21,21,17,17,30,17,39,30,52,52,78,82,91,95,86,78,91,86,86,86,78,86,78,39,47,43,30
801133.SI,饰品,66,60,20,33,40,40,60,26,53,60,66,80,78,80,73,86,86,80,86,86,73,66,46,46,61,26,46,66,66
801132.SI,服装家纺,35,47,29,25,18,15,16,10,20,37,49,50,64,76,77,81,83,81,86,91,89,88,88,89,89,74,77,67,50
801131.SI,纺织制造,56,53,46,34,31,21,40,31,34,40,62,56,71,84,84,90,93,93,93,93,93,84,84,84,83,37,56,50,46
801129.SI,调味发酵品Ⅱ,78,78,64,64,57,50,50,42,42,64,78,78,85,92,92,100,92,78,92,78,78,71,57,64,57,42,57,35,35
801128.SI,休闲食品,72,72,63,45,27,27,31,4,13,45,81,77,86,86,81,90,90,86,95,95,95,90,72,77,89,40,54,27,19
801127.SI,饮料乳品,80,80,73,53,38,34,46,23,38,65,80,76,84,92,92,92,88,84,96,88,92,80,76,76,76,73,69,42,23
801126.SI,非白酒,68,75,62,68,56,56,62,56,56,62,75,75,93,87,87,93,81,75,81,75,81,68,56,50,50,43,50,37,37
801125.SI,白酒Ⅱ,78,78,73,73,73,78,78,52,68,84,94,100,100,100,100,100,94,94,100,89,94,89,73,36,36,15,26,5,10
801124.SI,食品加工,76,76,64,48,36,32,36,24,28,40,68,76,80,83,84,84,72,72,80,72,72,72,80,80,78,64,72,60,35
801117.SI,其他家电Ⅱ,33,33,33,33,0,0,66,0,66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,66,33,33,33,33
801116.SI,家电零部件Ⅱ,23,23,16,13,10,6,10,3,6,10,31,24,44,55,65,82,86,93,93,93,93,86,82,89,92,51,68,72,48
801115.SI,照明设备Ⅱ,16,25,8,0,8,0,8,0,16,8,25,41,50,58,75,83,83,75,91,91,91,75,83,83,83,75,75,75,66
801114.SI,厨卫电器,50,62,44,44,22,11,22,0,22,33,55,77,88,88,88,88,77,66,88,88,88,100,100,88,66,88,77,55,33
801113.SI,小家电,45,50,45,40,30,25,30,5,25,35,65,70,80,80,85,85,85,90,90,95,95,80,70,90,77,40,60,55,27
801112.SI,黑色家电,30,40,10,11,22,22,22,11,22,22,33,44,55,55,77,77,66,66,77,88,100,88,88,88,90,44,55,44,11
801111.SI,白色家电,60,50,50,36,45,45,45,36,54,81,81,72,81,81,81,81,81,72,100,63,54,45,36,54,40,36,63,27,55
801096.SI,商用车,84,76,38,46,53,46,76,53,69,84,92,100,100,100,92,100,76,61,76,53,53,46,46,30,15,15,30,7,23
801095.SI,乘用车,50,50,50,62,50,50,75,62,75,87,100,100,100,100,87,75,75,62,62,25,37,25,12,12,20,0,25,0,0
801881.SI,摩托车及其他,68,75,68,37,50,31,56,31,62,62,75,75,81,75,81,87,82,88,88,82,76,76,70,70,76,58,64,58,71
801092.SI,汽车服务,80,80,40,44,33,22,44,11,44,55,88,88,77,88,100,100,100,100,100,100,100,66,55,66,55,22,33,44,33
801093.SI,汽车零部件,21,25,10,9,11,9,16,9,17,21,35,35,53,64,76,83,85,88,91,92,95,92,88,92,90,43,51,52,39
801086.SI,电子化学品Ⅱ,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,51,85,85,85,94,94,100,100,100,82,80,82,48
801085.SI,消费电子,11,17,12,12,12,9,12,9,15,16,24,17,27,35,43,59,69,89,86,87,90,89,90,91,90,51,64,70,59
801082.SI,其他电子Ⅱ,3,3,3,0,3,0,0,0,9,9,12,15,21,24,33,51,66,87,87,93,100,96,96,96,93,66,75,75,48
801084.SI,光学光电子,3,2,0,0,2,1,0,1,2,4,8,5,12,29,40,61,72,90,89,92,94,96,94,94,96,68,74,75,55
801083.SI,元件,5,8,1,3,1,1,3,1,5,3,5,1,5,8,19,36,72,91,93,93,93,96,96,96,96,73,75,81,57
801081.SI,半导体,11,7,1,2,6,6,3,4,5,1,3,0,1,0,2,11,25,55,70,77,87,82,87,96,94,64,70,70,57
801056.SI,能源金属,0,0,0,0,0,0,0,0,0,0,18,18,18,18,72,100,100,100,100,100,100,100,100,100,100,18,18,54,58
801054.SI,小金属,3,7,0,3,7,7,11,0,3,3,11,11,22,29,66,92,100,100,100,100,100,88,92,92,91,77,59,70,65
801053.SI,贵金属,27,36,9,36,36,72,100,54,72,54,81,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
801055.SI,工业金属,23,23,13,22,27,35,50,30,45,38,59,52,64,77,89,96,96,98,100,98,96,81,79,93,91,57,62,77,77
801051.SI,金属新材料,9,6,0,0,0,0,0,0,3,3,12,12,21,40,50,75,90,100,100,100,100,96,100,100,96,62,56,53,50
801045.SI,特钢Ⅱ,41,41,25,50,50,50,58,33,66,66,75,75,75,75,75,100,91,75,75,66,66,58,41,50,50,25,50,33,16
801044.SI,普钢,78,69,69,77,72,81,90,59,86,77,100,95,100,100,100,100,86,63,77,45,63,31,22,31,12,13,22,18,18
801043.SI,冶钢原料,55,44,33,33,44,44,55,44,55,66,66,66,77,88,100,88,88,88,100,100,100,66,66,77,66,55,55,66,77
801039.SI,非金属材料Ⅱ,0,0,0,0,0,0,0,0,0,12,12,12,12,37,50,50,62,100,100,100,100,100,100,100,100,75,87,75,62
801038.SI,农化制品,51,51,31,33,33,44,62,45,55,57,71,79,81,86,89,96,96,89,100,86,86,64,59,76,83,66,64,49,52
801037.SI,橡胶,23,29,11,5,0,0,11,0,17,17,29,29,47,64,64,82,82,100,100,100,100,100,100,100,93,70,82,76,68
801036.SI,塑料,16,17,9,4,5,4,6,4,8,9,9,12,26,38,48,63,76,87,91,93,98,94,97,100,98,65,75,76,69
801032.SI,化学纤维,18,22,3,7,11,11,30,7,23,26,61,53,65,76,80,96,96,96,96,96,92,76,73,80,72,50,50,46,39
801034.SI,化学制品,14,15,9,10,9,11,15,8,14,18,30,29,39,55,66,76,87,95,95,95,96,91,88,91,90,70,75,70,49
801033.SI,化学原料,29,31,24,33,29,36,54,35,47,49,57,64,70,77,80,89,91,92,96,87,87,75,66,77,81,54,63,64,62
801019.SI,农业综合Ⅱ,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50
801018.SI,动物保健Ⅱ,90,90,60,55,44,22,33,11,22,11,33,33,66,66,66,77,77,88,100,100,100,100,100,100,100,77,88,44,33
801017.SI,养殖业,82,82,52,59,40,40,50,18,22,22,31,31,54,77,63,77,72,72,100,95,86,86,63,81,84,63,95,63,54
801012.SI,农产品加工,72,72,36,39,34,43,47,21,52,65,78,65,91,86,91,91,100,95,100,100,95,95,82,86,95,86,82,65,60
801014.SI,饲料,82,76,52,55,55,44,38,16,22,33,38,38,55,72,61,66,61,61,94,88,88,88,50,66,100,50,72,55,44
801011.SI,林业Ⅱ,25,50,0,0,0,0,0,0,25,25,50,25,75,100,100,100,100,100,100,100,100,100,100,100,100,50,75,75,100
801015.SI,渔业,100,100,83,83,50,50,66,33,66,66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83,83
801016.SI,种植业,55,60,45,40,40,40,65,40,50,70,75,80,85,90,90,95,100,100,100,100,95,90,65,95,95,95,95,85,80
avg,行业平均,42,46,32,34,32,31,41,25,39,42,56,55,65,72,77,81,81,82,87,83,84,78,72,75,72,46,55,50,41
