代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801231.SI,综合Ⅱ,综合,15,2026-07-01,4592.56,6.83,5.07,0.33,5.9,-0.38,4.47,66.76
801017.SI,养殖业,农林牧渔,23,2026-07-01,2523.78,6.41,8.92,10.89,2.78,-1.54,10.86,110.51
801994.SI,教育,社会服务,15,2026-07-01,1626.97,5.45,4.39,1.99,-6.5,-13.33,6.58,25.61
801151.SI,化学制药,医药生物,151,2026-07-01,11784.04,5.43,11.82,7.06,10.85,6.05,36.14,657.13
801194.SI,保险Ⅱ,非银金融,5,2026-07-01,1123.0,4.88,5.74,1.81,-4.61,-4.66,6.14,186.31
801193.SI,证券Ⅱ,非银金融,50,2026-07-01,6686.8,4.65,6.27,5.68,8.45,12.97,69.49,929.29
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-07-01,2498.55,4.64,7.61,10.29,14.96,16.47,6.81,172.75
801178.SI,物流,交通运输,47,2026-07-01,4020.45,4.53,5.1,3.13,-0.53,-6.36,8.83,88.5
801014.SI,饲料,农林牧渔,17,2026-07-01,3519.75,4.39,7.49,9.11,3.9,-3.51,4.67,30.11
801152.SI,生物制品,医药生物,51,2026-07-01,5372.56,4.07,11.0,5.54,6.86,0.75,8.74,189.8
801015.SI,渔业,农林牧渔,6,2026-07-01,617.16,3.98,2.77,-0.55,-7.03,-12.73,1.33,4.26
801203.SI,一般零售,商贸零售,59,2026-07-01,2607.09,3.96,4.97,1.32,-6.44,-11.91,19.27,93.14
801952.SI,焦炭Ⅱ,煤炭,7,2026-07-01,1084.37,3.83,1.65,-0.09,-10.69,-18.82,2.88,8.7
801034.SI,化学制品,基础化工,171,2026-07-01,7534.71,3.76,4.82,1.37,5.82,9.77,35.97,885.91
801132.SI,服装家纺,纺织服饰,59,2026-07-01,1535.81,3.63,2.86,0.14,-1.34,-3.08,8.39,72.13
801206.SI,互联网电商,商贸零售,18,2026-07-01,10316.43,3.61,5.83,2.43,2.03,-4.9,3.19,34.41
801012.SI,农产品加工,农林牧渔,22,2026-07-01,2023.92,3.61,6.3,1.77,-5.07,-9.18,3.13,37.92
801033.SI,化学原料,基础化工,57,2026-07-01,3499.64,3.61,2.36,-0.92,2.35,3.17,22.44,324.14
801744.SI,航海装备Ⅱ,国防军工,10,2026-07-01,3159.85,3.51,4.28,-0.62,-2.13,-1.85,3.18,85.56
801155.SI,中药Ⅱ,医药生物,66,2026-07-01,5307.2,3.45,4.98,0.77,-1.62,-6.24,13.41,120.93
801219.SI,酒店餐饮,社会服务,9,2026-07-01,1390.83,3.4,2.12,-1.86,-8.4,-12.69,0.98,9.53
801163.SI,燃气Ⅱ,公用事业,29,2026-07-01,3042.87,3.38,4.8,0.59,-1.83,-7.39,5.31,68.35
801043.SI,冶钢原料,钢铁,9,2026-07-01,3377.29,3.35,2.89,-0.53,-6.65,-5.4,7.9,49.48
801154.SI,医药商业,医药生物,32,2026-07-01,4195.7,3.33,3.33,-2.21,-4.86,-9.55,4.51,38.69
801218.SI,专业服务,社会服务,30,2026-07-01,6574.09,3.32,3.14,0.68,2.89,6.85,3.56,64.8
801223.SI,通信服务,通信,38,2026-07-01,2185.86,3.3,4.29,-1.27,-2.57,-7.06,13.52,257.05
801191.SI,多元金融,非银金融,26,2026-07-01,1116.27,3.28,2.62,-1.61,-4.97,-7.76,9.73,65.9
801153.SI,医疗器械,医药生物,129,2026-07-01,5656.58,3.18,6.41,1.52,-0.54,-5.44,11.01,261.51
801183.SI,房地产服务,房地产,11,2026-07-01,723.44,3.15,2.66,0.78,-6.53,-14.4,3.34,10.87
801016.SI,种植业,农林牧渔,20,2026-07-01,2122.44,3.08,1.21,-3.76,-11.52,-15.2,5.76,32.41
801766.SI,影视院线,传媒,19,2026-07-01,1034.82,3.02,4.57,1.79,-4.12,-12.32,7.7,57.14
801128.SI,休闲食品,食品饮料,22,2026-07-01,1570.8,2.97,2.42,-0.95,-7.09,-14.75,1.51,17.03
801104.SI,软件开发,计算机,131,2026-07-01,5842.57,2.93,5.28,-1.03,-0.86,-7.61,22.12,627.53
801963.SI,炼化及贸易,石油石化,30,2026-07-01,2737.61,2.91,-0.76,-3.88,-5.65,-7.28,13.3,112.13
801124.SI,食品加工,食品饮料,25,2026-07-01,12315.06,2.85,0.62,-1.83,-3.26,-6.85,3.91,33.68
801991.SI,航空机场,交通运输,12,2026-07-01,2415.37,2.8,-1.08,0.8,-3.51,-5.1,10.2,48.92
801092.SI,汽车服务,汽车,10,2026-07-01,444.08,2.75,0.02,-4.89,-8.4,-9.88,1.82,11.37
801032.SI,化学纤维,基础化工,27,2026-07-01,4899.38,2.52,-0.48,-3.84,-3.93,1.83,9.7,96.15
801181.SI,房地产开发,房地产,88,2026-07-01,2181.08,2.47,2.03,0.0,-2.9,-7.56,43.23,279.13
801951.SI,煤炭开采,煤炭,30,2026-07-01,3268.68,2.42,1.22,-2.81,-8.18,-16.69,14.64,115.39
801126.SI,非白酒,食品饮料,17,2026-07-01,3202.3,2.27,3.58,1.74,-8.82,-15.56,1.66,20.66
801145.SI,文娱用品,轻工制造,22,2026-07-01,1602.09,2.27,2.63,-1.87,-8.18,-15.5,1.84,19.42
801982.SI,化妆品,美容护理,14,2026-07-01,5775.2,2.25,6.05,2.61,-6.28,-9.87,1.25,21.62
801156.SI,医疗服务,医药生物,51,2026-07-01,7111.61,2.2,7.17,7.39,20.23,15.79,13.52,392.84
801971.SI,环境治理,环保,105,2026-07-01,1901.51,2.19,1.75,-1.87,-3.22,-5.38,15.94,147.89
801741.SI,航天装备Ⅱ,国防军工,9,2026-07-01,32969.12,2.18,7.43,12.58,6.7,8.5,3.47,148.72
801045.SI,特钢Ⅱ,钢铁,12,2026-07-01,3876.87,2.14,1.62,-2.67,-3.95,-3.64,2.66,21.34
801096.SI,商用车,汽车,13,2026-07-01,6674.14,2.11,0.98,-2.84,-9.01,-16.9,3.84,42.12
801103.SI,IT服务Ⅱ,计算机,119,2026-07-01,4955.21,2.09,5.18,-1.78,-1.91,-6.53,32.03,569.42
801113.SI,小家电,家用电器,20,2026-07-01,3790.85,2.07,4.09,0.33,-5.8,-10.83,0.98,20.89
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-07-01,4359.59,2.06,1.66,0.06,-0.35,-7.24,4.91,30.66
801141.SI,包装印刷,轻工制造,41,2026-07-01,3036.4,2.03,2.61,-1.19,-0.55,-1.85,8.22,90.45
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-07-01,4143.64,2.01,1.38,-1.85,-1.4,1.36,2.37,16.62
801993.SI,旅游及景区,社会服务,24,2026-07-01,1828.37,1.98,2.95,-0.12,-7.23,-10.54,2.79,21.35
801981.SI,个护用品,美容护理,12,2026-07-01,1183.98,1.98,3.6,0.26,-3.39,-7.28,0.64,8.62
801711.SI,水泥,建筑材料,21,2026-07-01,3881.56,1.93,0.89,-0.96,-4.71,-10.49,4.17,35.49
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-07-01,3403.25,1.91,3.59,-2.6,-11.06,-15.09,1.11,9.83
801133.SI,饰品,纺织服饰,15,2026-07-01,1298.24,1.9,4.3,-0.02,-5.21,-7.86,2.47,16.82
801142.SI,家居用品,轻工制造,72,2026-07-01,1622.55,1.78,2.36,-0.46,-4.02,-9.06,6.47,78.22
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-07-01,2728.73,1.67,0.54,-2.82,-7.58,-11.36,4.67,21.09
801202.SI,贸易Ⅱ,商贸零售,12,2026-07-01,4244.65,1.67,-0.49,-2.05,-7.46,-11.46,2.81,19.72
801143.SI,造纸,轻工制造,23,2026-07-01,1989.13,1.65,2.57,-0.09,-6.89,-11.73,5.28,28.99
801131.SI,纺织制造,纺织服饰,33,2026-07-01,1657.82,1.64,0.25,-2.38,-1.49,-4.58,4.79,48.39
801769.SI,出版,传媒,29,2026-07-01,1354.37,1.62,1.4,-3.14,-6.21,-11.97,3.58,35.53
801044.SI,普钢,钢铁,23,2026-07-01,2005.9,1.62,2.25,-2.35,-6.81,-9.27,16.96,45.35
801767.SI,数字媒体,传媒,14,2026-07-01,1583.59,1.59,0.46,-5.19,-6.51,-11.02,2.57,41.67
801051.SI,金属新材料,有色金属,32,2026-07-01,11938.82,1.59,2.21,-1.68,-1.93,12.2,8.88,238.21
801038.SI,农化制品,基础化工,58,2026-07-01,5125.37,1.59,-0.15,-4.23,-3.11,-3.92,17.8,235.05
801713.SI,装修建材,建筑材料,35,2026-07-01,4725.47,1.57,1.12,-2.1,-4.95,-8.5,5.79,56.92
801731.SI,电机Ⅱ,电力设备,26,2026-07-01,13514.58,1.52,4.16,-3.66,-7.01,-9.74,3.47,75.16
801127.SI,饮料乳品,食品饮料,26,2026-07-01,6617.79,1.5,2.46,1.12,-1.18,-9.34,3.84,56.09
801111.SI,白色家电,家用电器,10,2026-07-01,17914.7,1.41,-0.08,1.52,-1.47,-5.61,2.92,82.56
801995.SI,电视广播Ⅱ,传媒,14,2026-07-01,948.64,1.4,-0.11,-4.45,-7.73,-15.01,3.95,20.64
801076.SI,轨交设备Ⅱ,机械设备,31,2026-07-01,5629.31,1.34,3.06,0.76,-1.95,-1.12,6.95,76.37
801161.SI,电力,公用事业,102,2026-07-01,3293.75,1.32,0.79,-1.77,-7.41,-13.78,60.07,463.56
801765.SI,广告营销,传媒,28,2026-07-01,2504.4,1.28,3.07,-2.73,-5.71,-13.72,14.93,145.0
801962.SI,油服工程,石油石化,13,2026-07-01,2113.23,1.25,1.38,-4.22,-7.7,-13.75,4.05,22.94
801784.SI,城商行Ⅱ,银行,17,2026-07-01,976.02,1.24,-1.51,-2.46,-6.52,-6.93,7.36,62.81
801114.SI,厨卫电器,家用电器,9,2026-07-01,7587.97,1.2,4.8,0.45,-4.59,-10.3,1.13,10.39
801881.SI,摩托车及其他,汽车,16,2026-07-01,3145.52,1.17,2.24,0.73,0.74,-5.29,1.34,24.46
801093.SI,汽车零部件,汽车,240,2026-07-01,7620.64,1.17,2.37,-2.3,-5.08,-8.12,31.96,631.91
801723.SI,基础建设,建筑装饰,45,2026-07-01,2049.19,1.15,0.72,-3.18,-4.99,-10.02,20.26,110.8
801785.SI,农商行Ⅱ,银行,10,2026-07-01,708.3,1.0,-2.54,-3.53,-7.99,-10.06,2.73,12.94
801783.SI,股份制银行Ⅱ,银行,9,2026-07-01,3844.61,0.98,-0.82,-3.23,-7.77,-8.54,10.2,83.34
801116.SI,家电零部件Ⅱ,家用电器,30,2026-07-01,7465.16,0.97,6.0,1.46,-0.99,-2.5,5.64,131.41
801125.SI,白酒Ⅱ,食品饮料,19,2026-07-01,34099.07,0.89,2.17,-0.16,-4.97,-9.85,2.41,137.36
801056.SI,能源金属,有色金属,13,2026-07-01,21936.55,0.89,4.27,-4.26,-4.35,-1.04,5.84,280.85
801724.SI,专业工程,建筑装饰,39,2026-07-01,2025.69,0.88,1.17,0.28,1.53,5.31,10.34,143.85
801095.SI,乘用车,汽车,8,2026-07-01,13383.72,0.8,2.57,-2.75,-10.18,-17.72,3.94,77.14
801179.SI,铁路公路,交通运输,33,2026-07-01,1411.86,0.8,-0.17,-2.62,-5.49,-10.54,5.81,28.85
801736.SI,风电设备,电力设备,29,2026-07-01,2530.6,0.46,2.22,1.84,-0.74,-8.83,9.66,188.8
801743.SI,地面兵装Ⅱ,国防军工,12,2026-07-01,16452.18,0.44,2.07,-0.88,-4.66,-4.55,2.9,59.59
801745.SI,军工电子Ⅱ,国防军工,62,2026-07-01,7241.64,0.42,5.73,5.66,6.75,10.15,12.43,452.45
801077.SI,工程机械,机械设备,28,2026-07-01,21332.94,0.31,-0.35,-1.55,-6.48,-6.55,7.4,103.08
801055.SI,工业金属,有色金属,60,2026-07-01,2972.69,0.27,0.16,-7.98,-12.19,-16.2,43.84,619.08
801036.SI,塑料,基础化工,73,2026-07-01,6021.31,0.23,-0.42,-3.17,-2.73,10.19,16.13,372.28
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-07-01,6622.15,0.14,0.41,-3.31,-1.67,-0.94,3.83,53.6
801992.SI,航运港口,交通运输,34,2026-07-01,3092.83,0.14,-4.11,-9.85,-4.36,-7.43,14.95,107.46
801072.SI,通用设备,机械设备,219,2026-07-01,9645.82,0.09,2.92,0.26,4.43,11.75,39.67,1145.36
801084.SI,光学光电子,电子,96,2026-07-01,2533.23,0.02,5.58,9.45,16.99,25.52,121.64,1511.32
801764.SI,游戏Ⅱ,传媒,26,2026-07-01,2825.9,-0.0,3.01,3.12,3.93,-2.75,12.1,181.09
801972.SI,环保设备Ⅱ,环保,27,2026-07-01,2439.36,-0.1,1.06,-1.35,-1.32,-0.01,5.3,92.73
801742.SI,航空装备Ⅱ,国防军工,45,2026-07-01,9031.12,-0.1,1.74,-1.06,-3.94,-4.03,7.4,238.29
801074.SI,专用设备,机械设备,178,2026-07-01,13614.7,-0.23,0.58,-0.28,0.12,3.05,26.33,644.19
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801037.SI,橡胶,基础化工,17,2026-07-01,5875.05,-0.32,4.81,6.07,12.8,17.26,3.79,90.28
801112.SI,黑色家电,家用电器,10,2026-07-01,2106.36,-0.33,5.56,2.99,-2.42,-3.68,3.78,40.77
801782.SI,国有大型银行Ⅱ,银行,6,2026-07-01,1800.53,-0.37,-1.59,-3.58,-6.41,-5.19,11.96,76.79
801961.SI,油气开采Ⅱ,石油石化,4,2024-06-17,2108.92,-0.42,-2.4,0.96,-0.5,3.0,0.86,10.53
801053.SI,贵金属,有色金属,11,2026-07-01,19562.0,-0.68,-0.64,-8.37,-17.27,-20.32,4.61,85.32
