代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801017.SI,养殖业,农林牧渔,23,2026-07-06,2632.55,4.49,4.31,8.7,10.72,6.97,9.64,103.71
801951.SI,煤炭开采,煤炭,30,2026-07-06,3497.37,4.27,7.0,6.73,0.34,-12.48,11.72,137.29
801014.SI,饲料,农林牧渔,17,2026-07-06,3601.69,3.44,2.33,7.07,9.49,3.75,5.22,37.73
801963.SI,炼化及贸易,石油石化,30,2026-07-06,2875.7,3.11,5.04,4.87,0.46,-2.93,14.98,132.75
801881.SI,摩托车及其他,汽车,16,2026-07-06,3280.55,2.91,4.29,5.12,6.59,2.59,1.27,32.73
801785.SI,农商行Ⅱ,银行,10,2026-07-06,738.22,2.56,4.22,2.07,-0.96,-4.38,3.81,18.07
801784.SI,城商行Ⅱ,银行,17,2026-07-06,1012.54,2.07,3.74,2.16,-0.01,-2.02,9.1,70.9
801744.SI,航海装备Ⅱ,国防军工,10,2026-07-06,3379.61,2.07,6.95,11.6,2.23,5.09,3.7,110.12
801783.SI,股份制银行Ⅱ,银行,9,2026-07-06,3996.73,2.04,3.96,2.62,-1.77,-4.54,12.7,105.77
801111.SI,白色家电,家用电器,10,2026-07-06,18483.14,1.96,3.17,2.96,3.09,-0.82,3.26,85.97
801194.SI,保险Ⅱ,非银金融,5,2026-07-06,1131.45,1.75,0.75,3.7,-2.49,-2.63,3.43,114.76
801992.SI,航运港口,交通运输,34,2026-07-06,3206.64,1.67,3.68,1.38,-3.59,-1.83,13.71,107.64
801178.SI,物流,交通运输,47,2026-07-06,4151.46,1.63,3.26,7.99,4.87,-1.27,7.25,77.79
801952.SI,焦炭Ⅱ,煤炭,7,2026-07-06,1084.98,1.56,0.06,2.0,-4.29,-21.4,2.07,6.38
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-07-06,4410.07,1.55,6.43,6.17,6.64,11.02,1.04,14.17
801782.SI,国有大型银行Ⅱ,银行,6,2026-07-06,1811.8,1.44,0.63,-1.78,-3.1,-4.43,14.35,92.01
801127.SI,饮料乳品,食品饮料,26,2026-07-06,6724.75,1.37,1.62,1.32,0.97,-2.99,3.2,45.2
801219.SI,酒店餐饮,社会服务,9,2026-07-06,1419.63,1.27,2.07,3.82,-1.44,-8.66,0.71,7.04
801152.SI,生物制品,医药生物,51,2026-07-06,5551.51,1.27,3.33,6.93,10.13,7.51,8.3,192.33
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-07-06,44778.82,1.27,-2.07,-3.31,-11.49,-4.0,6.72,237.05
801991.SI,航空机场,交通运输,12,2026-07-06,2403.73,1.25,-0.48,-0.26,-0.84,-2.61,7.14,38.99
801155.SI,中药Ⅱ,医药生物,66,2026-07-06,5494.46,1.25,3.53,4.25,3.92,-0.98,11.13,120.34
801764.SI,游戏Ⅱ,传媒,26,2026-07-06,2835.07,1.18,0.32,1.16,1.09,-1.64,10.1,166.87
801151.SI,化学制药,医药生物,151,2026-07-06,12326.96,1.14,4.61,8.94,15.19,14.12,40.29,827.28
801179.SI,铁路公路,交通运输,33,2026-07-06,1460.4,1.11,3.44,2.26,-0.87,-5.32,6.39,35.14
801154.SI,医药商业,医药生物,32,2026-07-06,4380.66,1.11,4.41,4.87,1.47,-2.86,5.02,38.44
801126.SI,非白酒,食品饮料,17,2026-07-06,3274.91,1.07,2.27,2.84,1.01,-9.73,1.4,16.83
801125.SI,白酒Ⅱ,食品饮料,19,2026-07-06,34326.22,1.04,0.67,0.91,-2.93,-6.57,1.93,127.22
801181.SI,房地产开发,房地产,88,2026-07-06,2170.67,0.98,-0.48,2.74,-2.34,-5.84,35.85,151.45
801128.SI,休闲食品,食品饮料,22,2026-07-06,1626.3,0.93,3.53,4.03,1.32,-8.34,1.34,15.8
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-07-06,6713.28,0.9,1.38,0.64,-0.04,2.46,2.66,38.83
801124.SI,食品加工,食品饮料,25,2026-07-06,12483.41,0.87,1.37,2.21,-1.74,-2.07,3.41,31.04
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-07-06,2788.4,0.74,2.19,3.02,-3.62,-6.63,3.76,18.79
801038.SI,农化制品,基础化工,58,2026-07-06,5140.38,0.66,0.29,0.72,-3.76,-0.84,13.97,200.54
801193.SI,证券Ⅱ,非银金融,50,2026-07-06,6595.69,0.53,-1.36,3.44,2.55,13.65,38.46,508.99
801994.SI,教育,社会服务,15,2026-07-06,1639.39,0.52,0.76,4.7,-1.21,-8.84,3.74,20.75
801101.SI,计算机设备,计算机,84,2026-07-06,2986.41,0.45,-2.58,0.61,-1.33,1.99,12.49,388.38
801033.SI,化学原料,基础化工,57,2026-07-06,3403.19,0.4,-2.76,0.4,-2.34,0.97,16.94,209.56
801143.SI,造纸,轻工制造,23,2026-07-06,2050.71,0.4,3.1,4.55,-0.02,-7.31,6.15,37.35
801015.SI,渔业,农林牧渔,6,2026-07-06,628.01,0.3,1.76,4.11,-1.78,-9.53,0.74,2.52
801081.SI,半导体,电子,175,2026-07-06,12781.28,0.28,-9.05,-7.5,3.57,25.76,48.49,5171.38
801163.SI,燃气Ⅱ,公用事业,29,2026-07-06,3069.22,0.25,0.87,5.44,-0.75,-4.12,3.36,41.1
801082.SI,其他电子Ⅱ,电子,33,2026-07-06,21511.38,0.24,-5.94,-4.23,-8.22,10.99,8.06,332.28
801045.SI,特钢Ⅱ,钢铁,12,2026-07-06,3909.34,0.23,0.84,3.0,-5.15,-1.92,2.23,15.01
801191.SI,多元金融,非银金融,26,2026-07-06,1128.03,0.21,1.05,3.26,-4.02,-2.75,6.45,42.1
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801993.SI,旅游及景区,社会服务,24,2026-07-06,1851.62,0.12,1.27,3.21,-1.67,-8.0,2.31,19.92
801112.SI,黑色家电,家用电器,10,2026-07-06,2072.61,0.12,-1.6,2.18,-1.1,-4.08,3.62,40.84
801711.SI,水泥,建筑材料,21,2026-07-06,3932.81,0.09,1.32,2.26,-1.88,-7.26,3.43,29.25
801156.SI,医疗服务,医药生物,51,2026-07-06,7064.59,0.09,-0.66,-0.34,12.08,18.55,12.35,383.4
801145.SI,文娱用品,轻工制造,22,2026-07-06,1625.56,0.07,1.46,3.94,-2.42,-10.14,1.19,14.69
801012.SI,农产品加工,农林牧渔,22,2026-07-06,2019.86,0.04,-0.2,4.32,-1.45,-6.74,2.32,23.42
801203.SI,一般零售,商贸零售,59,2026-07-06,2624.27,0.04,0.66,4.16,-0.73,-8.49,12.1,68.53
801723.SI,基础建设,建筑装饰,45,2026-07-06,2065.79,0.01,0.81,1.77,-4.66,-7.52,13.12,53.44
801231.SI,综合Ⅱ,综合,15,2026-07-06,4514.54,-0.0,-1.7,7.56,0.84,3.14,4.55,56.97
801769.SI,出版,传媒,29,2026-07-06,1360.29,-0.0,0.44,2.02,-5.49,-8.91,2.9,27.8
801114.SI,厨卫电器,家用电器,9,2026-07-06,7658.21,-0.03,0.93,3.15,-0.39,-6.64,1.0,9.28
801055.SI,工业金属,有色金属,60,2026-07-06,3094.43,-0.05,4.1,2.39,-11.81,-6.41,49.01,659.42
801077.SI,工程机械,机械设备,28,2026-07-06,22589.84,-0.15,5.89,4.61,-1.76,-2.08,7.22,120.34
801076.SI,轨交设备Ⅱ,机械设备,31,2026-07-06,5573.61,-0.16,-0.99,1.53,-4.11,-1.92,4.84,45.86
801016.SI,种植业,农林牧渔,20,2026-07-06,2145.33,-0.16,1.08,1.47,-8.54,-12.62,4.09,25.8
801962.SI,油服工程,石油石化,13,2026-07-06,2130.9,-0.22,0.84,1.42,-6.82,-11.61,3.5,20.3
801153.SI,医疗器械,医药生物,129,2026-07-06,5700.39,-0.24,0.77,3.59,1.61,-1.88,9.27,257.03
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801044.SI,普钢,钢铁,23,2026-07-06,2003.75,-0.37,-0.11,1.52,-6.29,-7.54,12.47,33.79
