代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801712.SI,玻璃玻纤,建筑材料,16,2026-06-25,32669.1,6.93,11.48,14.43,51.65,47.52,14.43,403.97
801083.SI,元件,电子,58,2026-06-25,30510.71,6.07,1.77,4.0,22.28,23.58,26.86,2006.31
801081.SI,半导体,电子,175,2026-06-25,13349.25,4.5,8.17,15.43,31.24,22.31,57.38,5929.92
801991.SI,航空机场,交通运输,12,2026-06-25,2499.79,4.32,3.12,-0.42,2.95,-3.33,16.15,84.66
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-25,9955.93,4.18,-0.77,9.92,24.13,29.75,1.29,111.08
801193.SI,证券Ⅱ,非银金融,50,2026-06-25,6548.4,3.5,1.81,6.37,12.93,9.93,72.96,923.64
801102.SI,通信设备,通信,85,2026-06-25,13896.64,3.22,0.92,6.92,15.92,24.28,26.53,2912.25
801084.SI,光学光电子,电子,96,2026-06-25,2376.94,2.69,3.89,4.17,15.02,11.9,106.88,1291.66
801764.SI,游戏Ⅱ,传媒,26,2026-06-25,2811.31,2.59,0.25,5.02,0.79,-5.47,12.13,186.44
801086.SI,电子化学品Ⅱ,电子,34,2026-06-25,16473.43,2.54,3.1,9.87,28.84,33.05,17.36,877.0
801101.SI,计算机设备,计算机,84,2026-06-25,3084.98,2.05,1.93,3.61,9.44,0.59,17.81,587.37
801078.SI,自动化设备,机械设备,79,2026-06-25,26550.26,1.74,1.99,2.02,9.63,7.66,15.07,892.74
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-25,2304.12,1.71,0.96,4.69,9.32,8.08,2.74,41.7
801036.SI,塑料,基础化工,73,2026-06-25,6314.85,1.55,-1.22,1.16,10.35,13.11,17.02,429.75
801054.SI,小金属,有色金属,26,2026-06-25,48514.2,1.55,-4.47,6.45,24.27,24.18,16.63,847.42
801082.SI,其他电子Ⅱ,电子,33,2026-06-25,23783.95,1.38,1.48,8.95,27.22,20.15,10.14,475.68
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-25,34526.04,1.09,-2.37,-2.76,-5.2,-9.25,2.88,178.1
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-25,6924.27,1.03,-0.14,-0.34,7.48,0.37,10.9,388.0
801156.SI,医疗服务,医药生物,51,2026-06-25,6685.71,0.96,6.07,12.67,13.93,5.09,10.52,276.79
801194.SI,保险Ⅱ,非银金融,5,2026-06-25,1112.81,0.89,-4.1,-5.01,-5.05,-5.03,4.68,148.05
801085.SI,消费电子,电子,90,2026-06-25,12950.61,0.87,3.08,6.77,14.9,5.34,31.85,1461.38
801014.SI,饲料,农林牧渔,17,2026-06-25,3253.74,0.87,-1.09,-1.75,-5.2,-11.59,2.46,19.16
801952.SI,焦炭Ⅱ,煤炭,7,2026-06-25,1094.77,0.86,-3.42,-6.22,-11.04,-12.32,3.01,9.37
801112.SI,黑色家电,家用电器,10,2026-06-25,2062.75,0.86,-1.57,-3.36,-0.77,-9.19,2.83,32.46
801074.SI,专用设备,机械设备,178,2026-06-25,13769.31,0.85,-0.5,0.6,5.7,3.42,27.65,670.44
801766.SI,影视院线,传媒,19,2026-06-25,1025.05,0.83,-2.52,-1.97,-7.65,-16.28,7.78,58.51
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-25,48128.68,0.67,-4.87,-2.42,7.88,-1.07,7.46,285.04
801711.SI,水泥,建筑材料,21,2026-06-25,3944.27,0.64,-1.59,-3.07,-3.94,-9.13,4.09,37.99
801724.SI,专业工程,建筑装饰,39,2026-06-25,2032.81,0.63,-0.12,-0.92,5.91,2.51,9.95,140.46
801972.SI,环保设备Ⅱ,环保,27,2026-06-25,2486.94,0.57,-0.45,0.72,2.52,-1.27,7.09,115.65
801191.SI,多元金融,非银金融,26,2026-06-25,1138.45,0.34,-3.13,-2.34,-0.02,-6.86,8.45,58.22
801072.SI,通用设备,机械设备,219,2026-06-25,9649.6,0.3,-0.04,3.09,11.26,7.95,42.97,1108.28
801735.SI,光伏设备,电力设备,64,2026-06-25,6605.57,0.28,-4.53,-1.46,1.26,-12.51,21.98,518.37
801111.SI,白色家电,家用电器,10,2026-06-25,17684.3,0.21,-1.37,-2.67,-6.4,-3.86,2.41,73.22
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801051.SI,金属新材料,有色金属,32,2026-06-25,12156.19,0.11,-2.07,1.2,10.35,11.22,9.79,255.17
801183.SI,房地产服务,房地产,11,2026-06-25,718.46,0.09,-2.77,-4.65,-8.67,-14.37,3.08,10.75
801032.SI,化学纤维,基础化工,27,2026-06-25,5093.82,-0.02,0.82,0.15,3.56,4.87,9.08,94.73
801737.SI,电池,电力设备,97,2026-06-25,26845.61,-0.03,-3.09,-0.78,6.83,-1.43,30.06,1186.67
801178.SI,物流,交通运输,47,2026-06-25,3896.78,-0.04,-1.56,-2.7,-5.73,-10.03,5.16,52.51
801151.SI,化学制药,医药生物,151,2026-06-25,11002.21,-0.05,2.81,4.86,3.23,-4.29,27.12,437.51
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-06-25,4352.01,-0.11,0.22,0.45,0.09,-6.79,7.7,48.47
801113.SI,小家电,家用电器,20,2026-06-25,3773.8,-0.12,-4.2,-4.55,-8.3,-16.58,1.07,23.21
801127.SI,饮料乳品,食品饮料,26,2026-06-25,6534.97,-0.14,-1.88,-2.04,-4.57,-9.49,3.25,50.95
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-25,6836.84,-0.17,1.8,1.51,1.37,-1.18,3.09,50.42
801131.SI,纺织制造,纺织服饰,33,2026-06-25,1694.69,-0.21,0.24,0.92,2.14,-3.67,4.16,40.71
801124.SI,食品加工,食品饮料,25,2026-06-25,12514.25,-0.24,-1.5,-0.17,-1.91,-5.73,3.56,37.51
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-25,5572.29,-0.26,-4.13,-3.67,-0.98,-3.77,6.88,73.15
801043.SI,冶钢原料,钢铁,9,2026-06-25,3385.62,-0.28,-4.12,-3.05,-4.45,-7.33,5.39,41.76
801037.SI,橡胶,基础化工,17,2026-06-25,5523.06,-0.29,2.6,5.58,9.24,5.21,3.41,69.8
801077.SI,工程机械,机械设备,28,2026-06-25,21603.56,-0.3,-6.04,-5.82,-5.53,-6.18,7.5,95.21
801128.SI,休闲食品,食品饮料,22,2026-06-25,1580.72,-0.32,-1.52,-4.22,-8.33,-13.84,1.4,17.74
801785.SI,农商行Ⅱ,银行,10,2026-06-25,731.78,-0.33,-1.82,-4.16,-8.04,-4.16,2.61,13.09
801743.SI,地面兵装Ⅱ,国防军工,12,2026-06-25,16536.39,-0.38,-4.08,-1.93,-1.8,-4.13,3.05,59.74
801961.SI,油气开采Ⅱ,石油石化,4,2024-06-17,2108.92,-0.42,-2.4,0.96,-0.5,3.0,0.86,10.53
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-25,3165.69,-0.43,-4.24,-4.33,0.54,-6.02,2.67,67.51
801784.SI,城商行Ⅱ,银行,17,2026-06-25,996.34,-0.43,-1.61,-3.99,-6.56,-2.07,7.15,65.01
801033.SI,化学原料,基础化工,57,2026-06-25,3516.17,-0.45,0.9,4.54,5.15,2.93,20.45,319.63
801202.SI,贸易Ⅱ,商贸零售,12,2026-06-25,4310.15,-0.53,-4.18,-4.65,-3.52,-11.22,3.07,21.42
801096.SI,商用车,汽车,13,2026-06-25,6832.76,-0.54,-4.71,-6.06,-8.65,-16.94,3.95,40.6
801993.SI,旅游及景区,社会服务,24,2026-06-25,1820.25,-0.57,-3.34,-4.74,-9.45,-10.58,2.46,19.45
801114.SI,厨卫电器,家用电器,9,2026-06-25,7508.33,-0.6,-2.34,-3.92,-5.89,-11.96,0.79,9.77
