代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801016.SI,种植业,农林牧渔,20,2026-06-09,2363.22,-0.89,-4.52,-5.58,-6.19,-17.46,4.39,28.96
801015.SI,渔业,农林牧渔,6,2026-06-09,672.1,-0.4,-3.5,-4.96,-5.69,-12.53,0.74,2.72
801011.SI,林业Ⅱ,农林牧渔,4,2024-06-17,560.05,-1.91,-5.36,-4.69,-18.3,-23.04,0.32,0.83
801014.SI,饲料,农林牧渔,17,2026-06-09,3428.03,-0.09,-1.89,-6.03,-8.34,-11.08,2.04,16.21
801012.SI,农产品加工,农林牧渔,22,2026-06-09,2102.11,-0.16,-3.04,-5.67,-4.75,-11.79,1.63,18.36
801017.SI,养殖业,农林牧渔,23,2026-06-09,2413.16,-0.27,-2.12,-5.86,-9.79,-17.23,5.03,44.36
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-06-09,4049.9,1.43,1.7,-0.93,-5.8,-17.04,0.91,9.18
801019.SI,农业综合Ⅱ,农林牧渔,2,2024-06-17,1017.95,-1.78,-2.1,-5.93,-11.6,-17.29,0.32,1.25
801033.SI,化学原料,基础化工,57,2026-06-09,3326.16,0.94,-0.84,-1.95,-4.81,-10.74,13.54,203.16
801034.SI,化学制品,基础化工,171,2026-06-09,6715.99,1.52,-0.74,-2.15,-5.8,-8.18,23.59,492.77
801032.SI,化学纤维,基础化工,27,2026-06-09,4946.42,1.95,2.39,2.81,-0.85,-7.42,8.37,84.5
801036.SI,塑料,基础化工,73,2026-06-09,5657.18,5.7,1.58,3.53,-1.36,0.8,17.25,352.56
801037.SI,橡胶,基础化工,17,2026-06-09,5030.26,4.08,-0.34,0.4,-7.06,-7.31,1.82,31.29
801038.SI,农化制品,基础化工,58,2026-06-09,5038.0,1.16,-2.84,-5.55,-10.12,-17.54,11.91,143.02
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-09,7927.79,4.62,1.61,0.72,-2.53,7.68,0.92,64.98
801043.SI,冶钢原料,钢铁,9,2026-06-09,3603.16,1.23,1.36,0.93,-4.44,-12.42,3.99,35.93
801044.SI,普钢,钢铁,23,2026-06-09,2112.91,0.27,-2.81,-4.43,-6.3,-14.24,14.35,41.38
801045.SI,特钢Ⅱ,钢铁,12,2026-06-09,3885.86,0.43,-2.52,-3.41,-9.73,-16.62,2.28,18.47
801051.SI,金属新材料,有色金属,32,2026-06-09,11196.98,3.87,3.23,5.22,1.05,3.98,10.19,218.45
801055.SI,工业金属,有色金属,60,2026-06-09,3163.07,1.58,-6.63,-10.83,-13.51,-15.76,35.06,487.37
801053.SI,贵金属,有色金属,11,2026-06-09,22079.58,1.7,-6.58,-10.06,-16.43,-24.24,3.91,83.84
801054.SI,小金属,有色金属,26,2026-06-09,39622.02,3.93,-3.65,0.09,-2.02,-7.97,10.87,467.71
801056.SI,能源金属,有色金属,13,2026-06-09,21305.37,5.8,-0.89,-3.89,-9.57,-17.43,5.33,245.05
801081.SI,半导体,电子,174,2026-06-09,10239.38,5.52,-3.92,1.44,-7.95,3.01,37.4,3204.88
801083.SI,元件,电子,58,2026-06-09,26030.4,7.28,-0.76,4.16,4.58,21.68,26.39,1716.59
801084.SI,光学光电子,电子,95,2026-06-09,2170.59,3.41,1.4,7.55,1.96,9.69,94.91,989.81
801082.SI,其他电子Ⅱ,电子,33,2026-06-09,19104.04,5.97,-4.39,-1.0,-4.37,-1.22,8.99,295.8
801085.SI,消费电子,电子,90,2026-06-09,11774.41,3.49,-4.52,-4.25,-4.94,-1.6,24.95,1000.48
801086.SI,电子化学品Ⅱ,电子,34,2026-06-09,12768.84,8.26,2.05,7.56,-0.14,10.67,13.42,564.53
801093.SI,汽车零部件,汽车,240,2026-06-09,8215.25,0.95,-1.88,-0.95,-7.88,-7.94,31.95,626.92
801092.SI,汽车服务,汽车,10,2026-06-09,478.15,0.29,-1.1,-2.97,-2.83,-4.51,1.46,11.68
801881.SI,摩托车及其他,汽车,16,2026-06-09,3195.06,0.43,-0.69,-3.8,-9.22,-11.72,1.21,25.19
801095.SI,乘用车,汽车,8,2026-06-09,15248.28,0.09,-2.43,-6.25,-7.0,-11.16,3.0,62.45
801096.SI,商用车,汽车,13,2026-06-09,7559.69,-0.86,-1.37,-5.88,-10.79,-20.9,4.09,40.64
801111.SI,白色家电,家用电器,10,2026-06-09,18612.22,-0.57,-0.92,-1.93,1.28,-0.61,1.69,48.15
801112.SI,黑色家电,家用电器,10,2026-06-09,2121.86,1.38,-1.75,-2.98,-9.34,-14.05,3.02,33.92
801113.SI,小家电,家用电器,20,2026-06-09,4227.6,-0.96,1.61,-0.56,-9.21,-8.74,0.9,21.74
801114.SI,厨卫电器,家用电器,9,2026-06-09,7954.82,-0.51,-1.51,-5.96,-9.31,-17.5,0.52,5.46
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-09,5264.44,3.26,-0.07,2.95,0.69,5.88,1.08,18.5
801116.SI,家电零部件Ⅱ,家用电器,30,2026-06-09,7767.83,1.14,-0.34,1.45,-11.14,-9.44,4.77,118.73
801117.SI,其他家电Ⅱ,家用电器,3,2024-06-17,473.77,-1.32,-2.54,-1.45,-11.29,-15.39,0.16,0.8
801124.SI,食品加工,食品饮料,25,2026-06-09,12701.75,1.14,-0.18,-3.93,-4.2,-11.3,2.85,27.76
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-09,35963.35,-0.83,-1.89,-4.93,-3.44,-9.31,1.68,97.46
801126.SI,非白酒,食品饮料,17,2026-06-09,3554.79,-1.16,-1.75,-6.26,-4.32,-6.46,1.82,23.96
801127.SI,饮料乳品,食品饮料,26,2026-06-09,6777.11,-0.84,-4.92,-7.15,-6.25,-10.64,3.39,43.8
801128.SI,休闲食品,食品饮料,22,2026-06-09,1719.38,-1.16,-2.48,-6.68,-6.13,-8.37,1.35,16.82
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-09,6688.41,2.4,3.38,0.05,-4.57,-6.61,5.1,62.75
801131.SI,纺织制造,纺织服饰,33,2026-06-09,1679.79,0.92,-1.14,-3.31,-6.88,-15.13,2.86,23.44
801132.SI,服装家纺,纺织服饰,59,2026-06-09,1518.31,-0.16,-0.85,-4.18,-5.57,-10.65,6.49,54.48
801133.SI,饰品,纺织服饰,15,2026-06-09,1344.75,0.58,-2.56,-4.56,-7.57,-11.72,1.84,12.23
801143.SI,造纸,轻工制造,23,2026-06-09,2173.66,0.79,-1.34,-3.54,-6.95,-11.15,5.63,34.18
801141.SI,包装印刷,轻工制造,41,2026-06-09,3046.69,0.49,-0.87,-1.52,-4.28,-12.26,7.47,94.74
801142.SI,家居用品,轻工制造,72,2026-06-09,1702.25,-0.2,-2.04,-4.59,-7.84,-13.01,4.92,58.34
801145.SI,文娱用品,轻工制造,22,2026-06-09,1783.07,0.33,-2.99,-5.95,-5.37,-13.96,2.07,24.48
801151.SI,化学制药,医药生物,151,2026-06-09,10590.52,0.77,-2.04,-4.69,-7.92,-15.72,15.32,243.81
801155.SI,中药Ⅱ,医药生物,66,2026-06-09,5434.22,-0.48,-1.48,-4.0,-3.38,-9.65,6.72,62.31
801152.SI,生物制品,医药生物,51,2026-06-09,5040.22,0.29,-2.36,-5.48,-8.98,-17.57,3.95,69.35
801154.SI,医药商业,医药生物,32,2026-06-09,4421.92,-0.1,-1.33,-4.67,-5.25,-13.3,3.33,27.67
801153.SI,医疗器械,医药生物,129,2026-06-09,5676.73,0.25,-2.43,-5.1,-8.71,-11.71,6.93,178.0
801156.SI,医疗服务,医药生物,51,2026-06-09,5777.66,-0.67,-3.56,-5.93,-10.3,-17.1,6.46,155.74
801161.SI,电力,公用事业,102,2026-06-09,3602.56,1.03,-5.09,-5.7,-0.84,-1.3,82.47,711.06
801163.SI,燃气Ⅱ,公用事业,29,2026-06-09,3110.39,-0.97,-3.3,-5.33,-8.04,-9.71,4.13,41.17
801178.SI,物流,交通运输,47,2026-06-09,4108.6,-0.42,-1.58,-4.31,-6.53,-11.32,4.95,42.06
801179.SI,铁路公路,交通运输,33,2026-06-09,1536.36,0.86,-0.25,-2.65,-2.67,-4.21,5.98,35.76
801991.SI,航空机场,交通运输,12,2026-06-09,2418.05,1.71,-1.72,-4.99,-7.92,-9.25,8.3,38.73
801992.SI,航运港口,交通运输,34,2026-06-09,3162.81,-0.29,-2.49,-5.33,-7.96,-9.07,13.08,86.7
801181.SI,房地产开发,房地产,88,2026-06-09,2250.96,0.13,-3.07,-4.6,-6.74,-14.94,49.0,226.14
801183.SI,房地产服务,房地产,11,2026-06-09,791.0,-1.24,-3.24,-6.41,-8.03,-20.08,2.73,9.19
801202.SI,贸易Ⅱ,商贸零售,13,2026-06-09,4558.1,-0.55,-3.96,-4.92,-8.0,-11.85,2.86,20.81
801203.SI,一般零售,商贸零售,59,2026-06-09,2769.52,-1.13,-2.44,-6.42,-6.99,-11.25,20.59,100.68
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-06-09,3870.85,2.97,-0.99,-3.43,-10.54,-14.65,1.19,12.5
801206.SI,互联网电商,商贸零售,18,2026-06-09,10192.64,1.32,-2.81,-6.04,-7.04,-14.8,2.57,26.48
801207.SI,旅游零售Ⅱ,商贸零售,2,2024-06-17,8063.33,-0.72,-3.44,-5.26,-3.13,-10.08,0.11,7.8
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801218.SI,专业服务,社会服务,30,2026-06-09,6072.7,1.23,-0.83,-1.3,-5.7,-6.78,3.14,48.84
801219.SI,酒店餐饮,社会服务,9,2026-06-09,1500.05,-0.74,-2.36,-5.83,-5.72,-13.05,0.7,6.57
801993.SI,旅游及景区,社会服务,24,2026-06-09,1955.33,-0.91,-2.14,-4.32,-4.53,-8.96,2.57,22.99
801994.SI,教育,社会服务,15,2026-06-09,1762.86,0.83,-1.91,-6.09,-8.31,-13.13,2.51,13.92
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-09,1934.7,0.3,3.66,1.88,3.2,2.09,16.99,119.48
801783.SI,股份制银行Ⅱ,银行,9,2026-06-09,4184.46,0.01,1.38,-0.46,2.98,1.34,11.45,94.03
801784.SI,城商行Ⅱ,银行,17,2026-06-09,1052.18,1.43,2.83,0.33,3.04,0.36,8.6,78.88
801785.SI,农商行Ⅱ,银行,10,2026-06-09,782.39,1.06,2.21,-0.65,1.14,-1.17,3.36,17.27
801193.SI,证券Ⅱ,非银金融,50,2026-06-09,5732.38,0.41,-1.87,-3.16,-4.98,-9.11,20.08,216.88
801194.SI,保险Ⅱ,非银金融,5,2026-06-09,1171.81,0.99,1.3,-0.52,-1.83,-10.53,2.04,70.61
801191.SI,多元金融,非银金融,26,2026-06-09,1129.42,0.67,-3.63,-6.67,-9.6,-15.46,5.84,39.53
801231.SI,综合Ⅱ,综合,15,2026-06-09,4502.8,5.96,2.78,-2.33,-4.39,-10.11,4.45,62.18
801711.SI,水泥,建筑材料,21,2026-06-09,4147.32,-0.06,-1.25,-4.36,-5.38,-12.11,2.79,23.43
801712.SI,玻璃玻纤,建筑材料,16,2026-06-09,21929.33,8.38,3.44,1.47,-4.12,6.65,16.24,280.8
801713.SI,装修建材,建筑材料,35,2026-06-09,4923.77,-0.16,-3.14,-4.66,-7.49,-16.62,7.36,73.79
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-06-09,2939.79,-0.06,-1.81,-4.51,-3.78,-9.71,3.79,16.56
801722.SI,装修装饰Ⅱ,建筑装饰,23,2026-06-09,4350.6,-0.78,-4.25,-7.43,-8.94,-17.74,4.61,32.94
801723.SI,基础建设,建筑装饰,45,2026-06-09,2182.18,0.27,-2.26,-4.18,-5.5,-13.2,21.49,125.45
801724.SI,专业工程,建筑装饰,39,2026-06-09,1919.78,2.07,0.0,-0.19,-4.31,-9.92,6.75,61.84
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-09,2108.5,1.47,-2.14,-1.71,-2.64,-8.51,4.62,71.26
801731.SI,电机Ⅱ,电力设备,26,2026-06-09,14834.78,-0.75,0.78,-0.92,-11.73,-7.87,3.91,96.31
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-09,47370.76,5.05,-1.78,-0.65,-3.13,-0.59,7.36,252.04
801735.SI,光伏设备,电力设备,64,2026-06-09,6604.45,3.61,-4.78,-5.27,-12.0,-10.25,21.54,460.07
801736.SI,风电设备,电力设备,29,2026-06-09,2549.87,1.21,-6.56,-8.13,-15.85,-20.18,6.0,103.47
801737.SI,电池,电力设备,97,2026-06-09,25727.34,2.79,-1.46,-6.2,-4.19,-9.97,23.14,853.64
801738.SI,电网设备,电力设备,125,2026-06-09,6206.2,1.4,-4.57,-7.12,-8.34,-12.31,26.04,495.05
801072.SI,通用设备,机械设备,219,2026-06-09,8985.26,2.71,1.08,4.1,-2.14,0.74,40.3,972.03
801074.SI,专用设备,机械设备,178,2026-06-09,13309.69,2.43,-1.2,0.74,-2.06,-3.15,23.93,541.84
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-09,5648.37,1.8,-0.24,-0.79,-3.58,-7.29,5.44,60.01
801077.SI,工程机械,机械设备,28,2026-06-09,23818.22,0.92,4.98,4.33,1.2,-4.91,7.11,103.54
801078.SI,自动化设备,机械设备,79,2026-06-09,25030.03,2.4,1.54,3.8,-1.54,7.73,13.44,702.38
801741.SI,航天装备Ⅱ,国防军工,9,2026-06-09,32757.22,-1.23,4.95,7.8,-2.24,-21.43,3.13,113.96
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-09,8969.6,1.18,-3.93,-4.68,-12.26,-18.66,5.22,164.82
801743.SI,地面兵装Ⅱ,国防军工,12,2026-06-09,16760.26,1.42,-1.85,-2.76,-5.82,-14.28,2.0,35.92
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-09,3136.37,0.17,-3.98,-2.58,-8.5,-14.47,2.08,59.93
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-09,6509.41,2.59,-3.01,-0.99,-7.49,-13.66,10.58,342.9
801101.SI,计算机设备,计算机,84,2026-06-09,2846.11,1.14,-3.14,-3.36,-9.84,-15.3,9.69,256.3
801103.SI,IT服务Ⅱ,计算机,119,2026-06-09,5110.66,2.12,-0.68,-3.6,-8.97,-14.2,30.54,475.27
801104.SI,软件开发,计算机,131,2026-06-09,5967.04,1.8,-1.67,-5.64,-9.51,-12.8,18.41,444.99
801764.SI,游戏Ⅱ,传媒,26,2026-06-09,2818.11,0.37,-0.97,-3.02,-6.63,-14.6,7.43,106.37
801765.SI,广告营销,传媒,28,2026-06-09,2758.69,2.43,-0.23,-4.95,-3.81,-12.47,13.79,151.05
801766.SI,影视院线,传媒,19,2026-06-09,1118.54,0.41,-2.4,-5.22,-7.17,-12.27,8.82,62.83
801767.SI,数字媒体,传媒,14,2026-06-09,1771.27,2.53,3.68,-0.48,1.81,-6.33,3.4,74.04
801769.SI,出版,传媒,29,2026-06-09,1494.67,0.89,0.66,-2.85,-2.54,-12.19,3.54,46.25
801995.SI,电视广播Ⅱ,传媒,14,2026-06-09,1034.63,0.16,-2.89,-7.31,-10.76,-13.17,3.82,22.43
801223.SI,通信服务,通信,38,2026-06-09,2252.82,0.64,-2.77,-4.21,-8.05,-11.19,9.72,139.34
801102.SI,通信设备,通信,85,2026-06-09,12380.03,5.4,-1.4,4.22,10.19,14.65,29.29,2531.78
801951.SI,煤炭开采,煤炭,30,2026-06-09,3922.51,-2.43,-3.62,-0.03,9.69,7.61,24.57,204.44
801952.SI,焦炭Ⅱ,煤炭,7,2026-06-09,1286.86,-3.71,-7.61,-3.66,1.39,-0.42,5.18,18.15
801961.SI,油气开采Ⅱ,石油石化,4,2024-06-17,2108.92,-0.42,-2.4,0.96,-0.5,3.0,0.86,10.53
801962.SI,油服工程,石油石化,13,2026-06-09,2315.51,-4.59,-4.74,-5.5,-7.79,-15.85,6.51,44.22
801963.SI,炼化及贸易,石油石化,30,2026-06-09,2866.1,-2.14,-2.1,-2.93,-5.29,-11.66,14.47,105.24
801971.SI,环境治理,环保,106,2026-06-09,1937.05,1.21,-2.07,-3.61,-6.31,-9.98,14.03,124.91
801972.SI,环保设备Ⅱ,环保,27,2026-06-09,2447.13,1.75,-0.33,0.31,-5.86,-7.69,4.4,74.7
801981.SI,个护用品,美容护理,12,2026-06-09,1197.82,-0.28,-2.58,-6.2,-6.41,-17.87,0.52,6.89
801982.SI,化妆品,美容护理,14,2026-06-09,6077.88,-0.76,-2.55,-5.15,-4.55,-9.54,0.87,16.27
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
