代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801712.SI,玻璃玻纤,建筑材料,16,2026-06-17,28549.19,8.04,28.89,32.52,35.45,45.09,15.79,413.61
801086.SI,电子化学品Ⅱ,电子,34,2026-06-17,14993.02,6.69,17.19,17.26,24.49,17.89,13.91,704.03
801084.SI,光学光电子,电子,96,2026-06-17,2281.8,5.38,15.38,10.41,10.24,13.97,89.38,969.6
801081.SI,半导体,电子,175,2026-06-17,11564.71,5.37,13.4,13.69,10.79,6.43,51.17,4769.06
801082.SI,其他电子Ⅱ,电子,33,2026-06-17,21830.53,4.73,16.39,16.77,12.62,8.13,8.85,377.48
801231.SI,综合Ⅱ,综合,15,2026-06-17,4520.18,4.23,5.7,1.88,-0.13,-8.71,4.24,71.02
801083.SI,元件,电子,58,2026-06-17,29337.35,4.22,18.15,17.58,16.82,35.02,29.85,2196.43
801724.SI,专业工程,建筑装饰,39,2026-06-17,2051.7,2.84,5.96,6.89,6.97,-1.53,12.95,167.25
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-17,3308.83,2.48,5.38,5.09,2.88,-5.34,2.89,71.42
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-17,6947.63,2.42,6.48,7.84,4.46,-3.72,12.83,446.33
801723.SI,基础建设,建筑装饰,45,2026-06-17,2206.88,2.32,2.88,2.61,-2.77,-8.31,31.7,172.76
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-17,49320.99,2.29,12.44,10.55,2.6,0.59,7.82,307.79
801101.SI,计算机设备,计算机,84,2026-06-17,2977.54,1.88,7.28,5.63,0.71,-10.13,14.63,403.41
801085.SI,消费电子,电子,90,2026-06-17,12129.37,1.88,8.92,7.62,-2.48,0.39,26.63,1170.58
801102.SI,通信设备,通信,85,2026-06-17,12997.6,1.68,11.89,8.42,3.72,19.44,27.68,2266.35
801992.SI,航运港口,交通运输,34,2026-06-17,3286.14,1.61,2.4,4.74,-0.14,-5.82,16.81,133.51
801072.SI,通用设备,机械设备,219,2026-06-17,9360.27,1.33,8.46,7.92,7.05,2.04,37.65,959.75
801078.SI,自动化设备,机械设备,79,2026-06-17,26024.41,1.32,10.56,7.46,5.8,4.17,13.26,824.45
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-17,9057.3,1.28,12.86,12.92,16.21,21.41,1.01,80.82
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-17,2200.93,1.27,4.39,4.42,2.93,-3.4,6.04,103.68
801036.SI,塑料,基础化工,73,2026-06-17,6242.52,0.84,10.65,9.09,13.15,9.6,20.67,489.67
801053.SI,贵金属,有色金属,11,2026-06-17,23840.43,0.82,5.36,11.28,-1.71,-5.51,4.68,100.77
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-17,5784.72,0.76,2.66,2.8,1.74,-2.34,6.6,72.92
801034.SI,化学制品,基础化工,171,2026-06-17,7173.21,0.74,3.0,5.73,5.13,-1.19,35.87,768.19
801074.SI,专用设备,机械设备,178,2026-06-17,13686.66,0.65,6.49,5.06,3.51,-0.98,23.4,550.43
801077.SI,工程机械,机械设备,28,2026-06-17,22938.91,0.56,1.05,0.31,1.58,-3.01,5.76,77.56
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-17,9451.38,0.54,1.22,6.07,0.46,-8.68,7.15,245.49
801037.SI,橡胶,基础化工,17,2026-06-17,5231.0,0.44,4.68,3.46,3.95,-7.18,2.33,44.23
801156.SI,医疗服务,医药生物,51,2026-06-17,5933.95,0.32,-1.11,1.12,-2.44,-9.23,6.56,105.31
801991.SI,航空机场,交通运输,12,2026-06-17,2510.29,0.28,0.64,3.38,1.33,-0.95,9.14,42.83
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801713.SI,装修建材,建筑材料,35,2026-06-17,4979.67,0.16,0.74,1.65,-2.85,-9.91,7.13,75.47
801741.SI,航天装备Ⅱ,国防军工,9,2026-06-17,30944.04,0.15,-1.74,-1.51,-2.15,-12.36,2.74,101.39
801218.SI,专业服务,社会服务,30,2026-06-17,6395.46,0.09,5.94,6.84,3.05,-0.72,3.17,59.18
801055.SI,工业金属,有色金属,60,2026-06-17,3387.64,0.07,2.37,8.96,-4.47,-0.95,46.87,707.7
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-17,6734.93,0.0,-1.26,-0.14,2.24,-3.32,3.01,44.0
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-06-17,2950.63,-0.06,-1.16,-0.41,-2.64,-6.63,5.11,23.0
801111.SI,白色家电,家用电器,10,2026-06-17,18169.32,-0.07,-4.12,-3.83,-3.99,-3.27,1.99,57.89
801711.SI,水泥,建筑材料,21,2026-06-17,4069.05,-0.11,-0.83,-0.9,-4.94,-8.99,3.35,30.14
801972.SI,环保设备Ⅱ,环保,27,2026-06-17,2469.18,-0.12,3.67,1.79,1.08,-8.23,4.78,82.94
801093.SI,汽车零部件,汽车,240,2026-06-17,8018.74,-0.12,2.24,1.17,-3.35,-9.51,31.38,570.13
801193.SI,证券Ⅱ,非银金融,50,2026-06-17,6156.35,-0.15,3.56,6.17,4.22,2.56,29.91,349.52
801131.SI,纺织制造,纺织服饰,33,2026-06-17,1679.31,-0.21,0.43,1.22,-2.41,-11.39,4.55,39.57
801736.SI,风电设备,电力设备,29,2026-06-17,2544.07,-0.21,2.35,2.2,-7.81,-17.39,5.75,102.45
801141.SI,包装印刷,轻工制造,41,2026-06-17,3046.24,-0.23,1.07,1.03,-2.0,-9.94,8.4,97.17
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801032.SI,化学纤维,基础化工,27,2026-06-17,5086.35,-0.26,3.17,3.41,4.2,-0.14,7.86,88.55
801104.SI,软件开发,计算机,131,2026-06-17,5877.65,-0.27,2.08,1.1,-5.46,-11.82,17.53,411.56
801179.SI,铁路公路,交通运输,33,2026-06-17,1489.39,-0.3,-2.14,-3.39,-4.52,-6.49,7.48,38.82
801153.SI,医疗器械,医药生物,129,2026-06-17,5669.25,-0.32,-0.49,1.01,-3.89,-8.9,7.46,193.31
801103.SI,IT服务Ⅱ,计算机,119,2026-06-17,5034.22,-0.35,3.57,-0.03,-4.15,-15.2,26.51,452.99
801127.SI,饮料乳品,食品饮料,26,2026-06-17,6671.3,-0.38,-3.2,-2.58,-7.42,-10.96,2.85,43.07
801056.SI,能源金属,有色金属,13,2026-06-17,22839.6,-0.41,1.56,7.73,3.04,-3.28,5.31,275.07
801737.SI,电池,电力设备,97,2026-06-17,27056.67,-0.41,5.11,7.67,0.19,-2.75,29.04,1214.51
801961.SI,油气开采Ⅱ,石油石化,4,2024-06-17,2108.92,-0.42,-2.4,0.96,-0.5,3.0,0.86,10.53
801223.SI,通信服务,通信,38,2026-06-17,2233.47,-0.44,1.7,-1.44,-4.52,-14.61,11.71,170.35
801962.SI,油服工程,石油石化,13,2026-06-17,2279.1,-0.46,-2.19,-0.35,-9.28,-18.98,3.88,24.06
801735.SI,光伏设备,电力设备,64,2026-06-17,6703.49,-0.47,3.02,2.76,-3.61,-12.14,23.5,527.58
801194.SI,保险Ⅱ,非银金融,5,2026-06-17,1171.48,-0.49,-1.89,-0.05,0.24,-1.81,2.37,80.62
801738.SI,电网设备,电力设备,125,2026-06-17,6313.2,-0.53,4.82,5.31,-4.55,-10.83,29.11,554.52
801784.SI,城商行Ⅱ,银行,17,2026-06-17,1037.7,-0.61,-3.6,-2.68,-0.0,0.67,6.95,58.52
801181.SI,房地产开发,房地产,88,2026-06-17,2232.64,-0.61,-1.12,-0.56,-4.7,-10.4,36.35,201.23
801971.SI,环境治理,环保,105,2026-06-17,1952.7,-0.62,0.81,1.29,-2.57,-6.81,14.17,136.71
801206.SI,互联网电商,商贸零售,18,2026-06-17,10043.52,-0.67,0.63,0.43,-6.4,-14.18,3.05,28.2
801207.SI,旅游零售Ⅱ,商贸零售,2,2024-06-17,8063.33,-0.72,-3.44,-5.26,-3.13,-10.08,0.11,7.8
801191.SI,多元金融,非银金融,26,2026-06-17,1165.77,-0.76,1.47,2.38,-2.21,-8.74,6.94,53.2
801785.SI,农商行Ⅱ,银行,10,2026-06-17,763.55,-0.81,-4.02,-4.05,-1.91,-2.8,2.38,11.67
801163.SI,燃气Ⅱ,公用事业,29,2026-06-17,3074.38,-0.82,-2.37,-1.18,-6.11,-12.88,4.87,50.65
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-17,5506.65,-0.82,6.67,8.02,6.71,9.91,1.91,23.92
801092.SI,汽车服务,汽车,10,2026-06-17,480.77,-0.84,1.48,1.36,-2.36,-5.5,1.56,14.45
801096.SI,商用车,汽车,13,2026-06-17,7273.31,-0.84,-1.52,-2.76,-8.64,-17.42,5.01,48.95
801152.SI,生物制品,医药生物,51,2026-06-17,4984.54,-0.86,-2.25,-1.16,-4.96,-13.23,4.36,71.15
801161.SI,电力,公用事业,102,2026-06-17,3526.62,-0.86,-0.86,0.08,-8.04,-1.76,73.66,646.51
801045.SI,特钢Ⅱ,钢铁,12,2026-06-17,4000.38,-0.89,1.44,3.57,0.73,-8.54,2.52,20.71
801012.SI,农产品加工,农林牧渔,22,2026-06-17,2112.89,-0.9,-1.58,0.9,-4.25,-9.49,1.89,34.64
801178.SI,物流,交通运输,47,2026-06-17,4005.0,-0.91,-3.29,-3.12,-5.33,-10.02,4.94,42.23
801116.SI,家电零部件Ⅱ,家用电器,30,2026-06-17,7471.1,-0.91,-0.31,-0.46,-2.43,-12.58,4.45,105.63
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-06-17,4332.49,-0.97,2.57,-0.36,-6.72,-13.84,5.64,37.07
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-17,1904.69,-1.0,-4.64,-3.02,1.26,3.03,12.05,81.37
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-17,35505.42,-1.05,-3.34,-2.51,-4.68,-7.29,1.67,115.89
801783.SI,股份制银行Ⅱ,银行,9,2026-06-17,4122.35,-1.1,-3.18,-3.03,-1.18,2.03,9.59,82.69
801112.SI,黑色家电,家用电器,10,2026-06-17,2134.36,-1.12,3.51,2.68,-2.4,-11.25,2.82,32.68
801995.SI,电视广播Ⅱ,传媒,14,2026-06-17,1015.92,-1.19,1.36,-0.75,-7.33,-15.26,3.77,22.76
801155.SI,中药Ⅱ,医药生物,66,2026-06-17,5327.14,-1.25,-2.85,-2.53,-4.77,-7.71,7.8,64.19
801151.SI,化学制药,医药生物,151,2026-06-17,10492.76,-1.3,-3.05,-1.55,-4.07,-11.54,15.01,244.8
801154.SI,医药商业,医药生物,32,2026-06-17,4351.49,-1.32,-2.73,-1.54,-4.59,-10.38,3.16,25.1
801117.SI,其他家电Ⅱ,家用电器,3,2024-06-17,473.77,-1.32,-2.54,-1.45,-11.29,-15.39,0.16,0.8
801051.SI,金属新材料,有色金属,32,2026-06-17,12011.72,-1.33,6.82,9.04,11.58,13.04,8.85,225.98
801731.SI,电机Ⅱ,电力设备,26,2026-06-17,14340.05,-1.34,3.08,0.31,-2.81,-10.79,4.47,83.69
801202.SI,贸易Ⅱ,商贸零售,12,2026-06-17,4520.11,-1.46,2.3,1.18,-5.35,-11.45,3.07,22.83
801881.SI,摩托车及其他,汽车,16,2026-06-17,3076.52,-1.47,-2.51,-1.79,-6.35,-12.71,1.28,21.78
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-06-17,3769.86,-1.48,-1.35,-0.33,-5.83,-14.7,1.05,10.83
801145.SI,文娱用品,轻工制造,22,2026-06-17,1718.89,-1.49,-0.57,-2.8,-8.5,-12.88,2.76,30.28
801124.SI,食品加工,食品饮料,25,2026-06-17,12536.12,-1.52,-2.39,-1.74,-3.41,-10.19,4.52,41.16
801017.SI,养殖业,农林牧渔,23,2026-06-17,2418.1,-1.53,-1.71,-0.74,-4.69,-12.13,4.82,46.81
801764.SI,游戏Ⅱ,传媒,26,2026-06-17,2676.85,-1.55,-1.81,-4.03,-7.3,-14.68,8.45,110.51
801142.SI,家居用品,轻工制造,72,2026-06-17,1663.72,-1.58,-2.3,-1.86,-5.73,-12.94,5.14,65.07
801054.SI,小金属,有色金属,26,2026-06-17,45573.93,-1.6,8.42,16.74,11.17,16.13,18.1,881.02
801133.SI,饰品,纺织服饰,15,2026-06-17,1347.32,-1.63,-0.89,1.38,-3.71,-8.16,1.51,12.26
801033.SI,化学原料,基础化工,57,2026-06-17,3363.31,-1.63,-0.84,0.58,-1.83,-7.13,14.43,212.66
801765.SI,广告营销,传媒,28,2026-06-17,2611.99,-1.66,-0.44,-3.63,-8.02,-14.48,11.02,105.35
801767.SI,数字媒体,传媒,14,2026-06-17,1665.67,-1.66,-0.15,-4.88,-4.72,-10.68,2.07,42.58
801982.SI,化妆品,美容护理,14,2026-06-17,6058.56,-1.68,-1.94,-0.49,-3.96,-6.44,0.85,13.31
801769.SI,出版,传媒,29,2026-06-17,1419.4,-1.71,-1.77,-5.2,-6.05,-10.96,3.58,34.59
801963.SI,炼化及贸易,石油石化,30,2026-06-17,2851.65,-1.72,-2.88,-0.19,-4.32,-9.81,11.91,96.0
801114.SI,厨卫电器,家用电器,9,2026-06-17,7815.0,-1.73,-3.56,-2.05,-4.78,-14.69,0.7,7.62
801113.SI,小家电,家用电器,20,2026-06-17,3953.83,-1.75,-2.31,-3.92,-6.54,-18.58,1.02,27.06
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-06-17,4127.74,-1.77,-0.23,0.53,1.8,-10.83,2.16,12.83
801019.SI,农业综合Ⅱ,农林牧渔,2,2024-06-17,1017.95,-1.78,-2.1,-5.93,-11.6,-17.29,0.32,1.25
801981.SI,个护用品,美容护理,12,2026-06-17,1203.77,-1.78,-1.94,-0.1,-3.96,-8.99,0.6,7.77
