代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801193.SI,证券Ⅱ,非银金融,50,2026-06-22,6431.67,7.69,4.31,8.19,10.82,8.6,70.01,908.82
801054.SI,小金属,有色金属,26,2026-06-22,50783.48,7.55,9.64,20.82,26.05,27.51,19.26,960.96
801194.SI,保险Ⅱ,非银金融,5,2026-06-22,1160.38,5.84,-1.43,-2.82,-0.14,-1.67,6.0,204.78
801038.SI,农化制品,基础化工,58,2026-06-22,5340.97,5.41,0.96,1.27,3.03,-5.03,20.44,270.55
801712.SI,玻璃玻纤,建筑材料,16,2026-06-22,29303.72,5.32,10.9,32.3,39.13,37.34,16.71,425.77
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-22,10032.91,5.08,12.18,25.01,30.35,30.63,1.47,120.38
801033.SI,化学原料,基础化工,57,2026-06-22,3484.65,5.01,1.91,2.74,3.38,-2.16,21.48,258.43
801055.SI,工业金属,有色金属,60,2026-06-22,3508.95,4.74,3.65,6.04,6.13,0.54,66.59,1074.01
801086.SI,电子化学品Ⅱ,电子,34,2026-06-22,15978.14,4.73,13.7,24.89,28.86,28.11,16.63,841.48
801034.SI,化学制品,基础化工,171,2026-06-22,7377.9,4.61,3.61,5.93,8.2,1.92,37.28,824.4
801082.SI,其他电子Ⅱ,电子,33,2026-06-22,23437.94,4.54,12.44,24.96,20.93,18.59,9.74,424.05
801056.SI,能源金属,有色金属,13,2026-06-22,23599.95,4.38,2.9,4.94,11.6,0.45,7.84,384.03
801735.SI,光伏设备,电力设备,64,2026-06-22,6919.03,4.19,2.73,6.33,3.18,-7.85,24.51,699.7
801764.SI,游戏Ⅱ,传媒,26,2026-06-22,2804.38,3.81,3.14,2.87,-2.71,-8.11,12.58,194.03
801737.SI,电池,电力设备,97,2026-06-22,27701.49,3.8,1.96,7.61,7.35,0.65,37.9,1604.4
801043.SI,冶钢原料,钢铁,9,2026-06-22,3531.17,3.63,-2.4,-3.92,-2.93,-6.57,6.79,48.59
801104.SI,软件开发,计算机,131,2026-06-22,6092.49,3.48,3.38,5.81,1.4,-7.34,25.57,695.24
801738.SI,电网设备,电力设备,125,2026-06-22,6517.4,3.44,2.69,8.21,1.97,-5.29,35.68,723.14
801963.SI,炼化及贸易,石油石化,30,2026-06-22,2862.59,3.24,-1.34,-2.51,-3.37,-5.47,12.65,105.26
801765.SI,广告营销,传媒,28,2026-06-22,2717.59,3.11,2.31,3.58,-0.59,-7.91,14.73,168.9
801767.SI,数字媒体,传媒,14,2026-06-22,1725.32,3.08,1.86,3.43,-2.08,-3.97,2.63,58.57
801053.SI,贵金属,有色金属,11,2026-06-22,23700.56,2.91,0.23,4.74,2.19,-5.33,6.74,146.39
801191.SI,多元金融,非银金融,26,2026-06-22,1175.29,2.91,0.06,2.3,1.32,-5.86,11.79,84.7
801992.SI,航运港口,交通运输,34,2026-06-22,3326.08,2.8,2.85,3.65,1.83,-5.14,16.29,137.39
801081.SI,半导体,电子,175,2026-06-22,12340.43,2.76,12.44,21.01,21.42,16.01,53.46,5322.54
801744.SI,航海装备Ⅱ,国防军工,10,2026-06-22,3305.93,2.7,2.39,5.29,2.8,-4.05,2.94,81.89
801156.SI,医疗服务,医药生物,51,2026-06-22,6303.15,2.49,6.57,5.05,5.77,-3.39,10.12,205.41
801032.SI,化学纤维,基础化工,27,2026-06-22,5052.38,2.45,-0.93,2.48,1.5,0.55,8.61,88.3
801951.SI,煤炭开采,煤炭,30,2026-06-22,3485.4,2.19,-2.09,-8.62,-12.78,-0.86,19.31,157.78
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-22,2282.29,2.18,5.01,8.25,6.17,3.2,6.78,133.51
801743.SI,地面兵装Ⅱ,国防军工,12,2026-06-22,17240.24,2.11,-0.09,2.07,1.22,-3.98,3.85,77.64
801037.SI,橡胶,基础化工,17,2026-06-22,5383.36,2.08,3.36,7.73,6.48,-2.56,3.43,58.77
801036.SI,塑料,基础化工,73,2026-06-22,6392.54,1.92,3.26,13.31,14.83,12.35,19.35,475.14
801733.SI,其他电源设备Ⅱ,电力设备,30,2026-06-22,50592.03,1.87,4.92,15.34,8.47,5.82,7.9,289.95
801102.SI,通信设备,通信,85,2026-06-22,13770.4,1.74,7.72,18.54,13.5,27.7,28.77,2694.0
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-22,35363.81,1.72,-1.45,-3.72,-3.74,-5.69,2.37,166.94
801124.SI,食品加工,食品饮料,25,2026-06-22,12704.19,1.59,-0.2,-1.09,-0.34,-7.1,4.06,40.64
801076.SI,轨交设备Ⅱ,机械设备,31,2026-06-22,5812.63,1.59,1.25,3.16,2.29,-1.85,6.77,77.49
801218.SI,专业服务,社会服务,30,2026-06-22,6561.1,1.58,2.68,8.68,6.13,2.31,3.85,71.96
801077.SI,工程机械,机械设备,28,2026-06-22,22993.38,1.57,0.8,1.29,-0.34,-3.18,8.64,119.43
801103.SI,IT服务Ⅱ,计算机,119,2026-06-22,5172.17,1.55,2.38,6.41,0.63,-9.59,35.37,625.48
801971.SI,环境治理,环保,105,2026-06-22,1973.74,1.54,0.45,1.9,0.24,-4.17,19.01,186.68
801084.SI,光学光电子,电子,96,2026-06-22,2287.96,1.5,5.66,15.69,5.45,9.78,93.11,1122.7
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-22,6715.74,1.49,-0.28,-1.54,2.49,-2.99,4.38,66.61
801044.SI,普钢,钢铁,23,2026-06-22,2138.14,1.39,-0.67,-0.31,-1.34,-4.67,23.7,64.72
801783.SI,股份制银行Ⅱ,银行,9,2026-06-22,4068.77,1.24,-2.39,-4.44,-2.81,0.91,13.2,115.3
801995.SI,电视广播Ⅱ,传媒,14,2026-06-22,1020.28,1.23,-0.77,1.79,-4.79,-12.46,4.62,28.01
801096.SI,商用车,汽车,13,2026-06-22,7170.61,1.22,-2.24,-2.91,-5.85,-17.75,4.53,57.38
801127.SI,饮料乳品,食品饮料,26,2026-06-22,6660.38,1.2,-0.54,-3.36,-3.92,-7.64,3.49,59.37
801206.SI,互联网电商,商贸零售,18,2026-06-22,10097.19,1.16,-0.14,1.17,-3.06,-10.53,3.28,35.2
801223.SI,通信服务,通信,38,2026-06-22,2277.5,1.16,1.52,3.7,-0.68,-9.03,16.56,245.84
801962.SI,油服工程,石油石化,13,2026-06-22,2286.87,1.15,-0.12,-1.86,-5.14,-14.13,5.09,30.17
801131.SI,纺织制造,纺织服饰,33,2026-06-22,1690.55,1.14,0.46,1.1,-0.57,-9.88,4.39,36.92
801736.SI,风电设备,电力设备,29,2026-06-22,2567.96,1.09,0.72,3.31,-3.5,-15.2,8.53,133.54
801952.SI,焦炭Ⅱ,煤炭,7,2026-06-22,1133.56,0.99,-6.64,-9.21,-17.89,-9.85,2.76,8.66
801143.SI,造纸,轻工制造,23,2026-06-22,2051.06,0.99,-3.99,-5.45,-7.3,-10.6,6.11,32.75
801017.SI,养殖业,农林牧渔,23,2026-06-22,2377.73,0.97,-3.17,-3.35,-3.39,-11.18,6.15,57.73
801724.SI,专业工程,建筑装饰,39,2026-06-22,2035.25,0.97,2.01,5.11,5.87,0.82,12.13,146.1
801163.SI,燃气Ⅱ,公用事业,29,2026-06-22,3092.39,0.9,-0.23,-1.8,-3.4,-9.56,5.12,58.28
801769.SI,出版,传媒,29,2026-06-22,1439.38,0.88,-0.32,-0.39,-3.61,-7.19,3.7,46.22
801101.SI,计算机设备,计算机,84,2026-06-22,3026.56,0.87,3.56,9.04,3.36,-6.42,17.31,462.49
801202.SI,贸易Ⅱ,商贸零售,12,2026-06-22,4498.1,0.86,-1.94,1.8,-7.18,-9.92,2.93,22.18
801881.SI,摩托车及其他,汽车,16,2026-06-22,3077.61,0.82,-1.43,-2.48,-3.76,-13.29,1.52,28.42
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-22,1869.74,0.82,-2.81,-6.39,-1.38,-0.04,17.04,111.55
801972.SI,环保设备Ⅱ,环保,27,2026-06-22,2498.22,0.82,1.06,4.89,1.88,-6.34,5.2,91.18
801133.SI,饰品,纺织服饰,15,2026-06-22,1341.31,0.79,-2.06,-1.33,-2.94,-8.23,2.03,14.74
801766.SI,影视院线,传媒,19,2026-06-22,1051.6,0.77,-2.57,-1.24,-8.23,-13.9,8.31,58.64
801713.SI,装修建材,建筑材料,35,2026-06-22,4933.44,0.67,-0.77,-0.19,-3.04,-8.24,7.87,80.4
801111.SI,白色家电,家用电器,10,2026-06-22,17929.25,0.66,-1.39,-5.38,-3.8,-2.93,2.28,61.06
801045.SI,特钢Ⅱ,钢铁,12,2026-06-22,4121.57,0.65,2.11,4.51,3.4,-3.97,3.78,37.16
801723.SI,基础建设,建筑装饰,45,2026-06-22,2166.68,0.59,0.46,1.01,-3.0,-8.1,24.35,151.39
801151.SI,化学制药,医药生物,151,2026-06-22,10701.18,0.57,0.66,-1.13,-0.93,-8.92,22.59,373.98
801161.SI,电力,公用事业,102,2026-06-22,3432.88,0.56,-3.5,-3.49,-6.27,-2.98,75.2,622.81
801014.SI,饲料,农林牧渔,17,2026-06-22,3289.48,0.5,-2.89,-5.62,-5.24,-11.79,3.0,22.22
801016.SI,种植业,农林牧渔,20,2026-06-22,2345.74,0.49,-2.21,-3.35,-4.45,-9.12,6.77,37.05
801178.SI,物流,交通运输,47,2026-06-22,3958.53,0.49,-2.06,-4.41,-5.86,-9.27,6.6,58.24
801072.SI,通用设备,机械设备,219,2026-06-22,9653.38,0.49,4.51,11.85,8.66,4.17,43.03,1189.79
801785.SI,农商行Ⅱ,银行,10,2026-06-22,745.35,0.47,-3.17,-6.31,-3.46,-4.19,3.4,17.23
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-22,9393.05,0.45,-0.09,0.6,1.13,-8.25,8.13,261.56
801179.SI,铁路公路,交通运输,33,2026-06-22,1473.16,0.33,-1.38,-3.2,-4.49,-7.56,7.86,40.13
801141.SI,包装印刷,轻工制造,41,2026-06-22,3064.24,0.33,0.36,1.67,0.03,-6.72,9.19,102.12
801711.SI,水泥,建筑材料,21,2026-06-22,4008.12,0.28,-1.61,-2.31,-5.49,-9.21,4.33,33.13
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801784.SI,城商行Ⅱ,银行,17,2026-06-22,1012.64,0.2,-3.01,-5.93,-2.01,-1.25,9.0,77.79
801113.SI,小家电,家用电器,20,2026-06-22,3939.36,0.06,-2.11,-2.66,-6.82,-17.97,1.34,29.37
801181.SI,房地产开发,房地产,88,2026-06-22,2222.6,0.05,-1.06,-1.56,-3.58,-8.4,39.4,236.59
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-06-22,2893.08,0.02,-2.01,-3.09,-3.13,-6.66,5.56,25.34
801015.SI,渔业,农林牧渔,6,2026-06-22,639.39,0.01,-3.68,-4.69,-7.89,-12.12,0.87,2.99
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-06-22,4342.49,-0.02,-0.74,2.81,-3.71,-11.42,5.19,35.71
801085.SI,消费电子,电子,90,2026-06-22,12564.23,-0.02,5.53,12.82,4.76,2.74,30.23,1452.1
801145.SI,文娱用品,轻工制造,22,2026-06-22,1665.92,-0.03,-4.52,-3.63,-7.91,-13.74,1.88,22.26
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-06-22,4135.31,-0.05,-1.59,-0.05,4.11,-6.74,3.1,19.24
801183.SI,房地产服务,房地产,11,2026-06-22,738.92,-0.11,-4.53,-5.99,-10.32,-15.39,2.49,8.68
801074.SI,专用设备,机械设备,178,2026-06-22,13837.94,-0.12,1.76,7.67,3.58,0.54,29.82,667.87
801203.SI,一般零售,商贸零售,59,2026-06-22,2643.7,-0.15,-5.13,-3.97,-7.81,-10.77,16.8,88.36
801204.SI,专业连锁Ⅱ,商贸零售,7,2026-06-22,3684.95,-0.18,-3.7,-3.57,-5.96,-14.61,1.02,10.01
801152.SI,生物制品,医药生物,51,2026-06-22,5040.67,-0.24,0.26,-1.15,-2.38,-10.57,6.28,109.41
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801991.SI,航空机场,交通运输,12,2026-06-22,2424.09,-0.31,-3.16,-2.82,-1.78,-4.15,10.09,47.57
801128.SI,休闲食品,食品饮料,22,2026-06-22,1605.17,-0.31,-5.06,-7.31,-9.53,-13.36,1.79,20.52
801114.SI,厨卫电器,家用电器,9,2026-06-22,7688.08,-0.35,-3.33,-5.13,-6.28,-13.26,0.68,7.26
801132.SI,服装家纺,纺织服饰,59,2026-06-22,1511.65,-0.35,-2.89,-0.87,-1.88,-7.61,10.14,84.87
801142.SI,家居用品,轻工制造,72,2026-06-22,1650.35,-0.41,-2.38,-3.09,-5.77,-11.94,6.86,80.12
801155.SI,中药Ⅱ,医药生物,66,2026-06-22,5287.04,-0.42,-1.99,-3.58,-4.72,-6.79,11.92,103.19
