代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801086.SI,电子化学品Ⅱ,电子,34,2026-06-11,13448.28,5.18,14.02,7.48,5.52,13.71,16.67,705.42
801054.SI,小金属,有色金属,26,2026-06-11,40936.99,4.86,7.38,-0.46,0.92,-1.36,13.14,637.26
801712.SI,玻璃玻纤,建筑材料,16,2026-06-11,22237.89,3.23,9.9,4.9,-7.43,8.06,13.52,293.59
801056.SI,能源金属,有色金属,13,2026-06-11,21697.77,2.34,7.74,0.93,-4.81,-11.94,6.91,336.74
801038.SI,农化制品,基础化工,58,2026-06-11,5133.11,2.12,3.07,-1.0,-4.79,-12.9,16.04,190.03
801111.SI,白色家电,家用电器,10,2026-06-11,19232.86,1.79,2.75,2.38,5.99,1.55,3.04,90.95
801043.SI,冶钢原料,钢铁,9,2026-06-11,3600.11,1.61,1.14,1.27,-1.1,-9.33,3.65,35.31
801081.SI,半导体,电子,174,2026-06-11,10321.42,1.47,6.37,-3.15,-6.79,2.7,37.85,3345.38
801051.SI,金属新材料,有色金属,32,2026-06-11,11146.62,1.19,3.4,2.76,-0.62,5.31,11.05,221.13
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-11,6811.74,1.0,4.29,5.29,0.54,-4.34,4.61,58.78
801053.SI,贵金属,有色金属,11,2026-06-11,21629.82,0.96,-0.38,-8.48,-10.25,-22.78,4.53,92.7
801114.SI,厨卫电器,家用电器,9,2026-06-11,8049.58,0.89,0.67,-0.34,-4.43,-14.63,0.66,7.19
801039.SI,非金属材料Ⅱ,基础化工,7,2026-06-11,8085.75,0.81,6.71,3.63,-0.36,7.25,1.05,74.29
801055.SI,工业金属,有色金属,60,2026-06-11,3132.28,0.75,0.59,-7.54,-9.02,-14.96,34.75,500.78
801016.SI,种植业,农林牧渔,20,2026-06-11,2364.35,0.73,-0.84,-4.47,-4.73,-16.39,3.62,22.04
801034.SI,化学制品,基础化工,171,2026-06-11,6832.2,0.7,3.28,0.98,-1.77,-6.13,28.86,623.46
801742.SI,航空装备Ⅱ,国防军工,45,2026-06-11,8969.78,0.67,1.18,-3.93,-11.34,-16.66,6.76,200.51
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,2026-06-11,2121.22,0.64,2.08,-1.55,-0.77,-7.3,5.35,84.33
801962.SI,油服工程,石油石化,13,2026-06-11,2301.43,0.63,-5.17,-5.32,-6.77,-15.76,5.12,35.94
801745.SI,军工电子Ⅱ,国防军工,62,2026-06-11,6481.95,0.61,2.15,-3.42,-8.25,-10.8,10.39,333.96
801163.SI,燃气Ⅱ,公用事业,29,2026-06-11,3128.14,0.55,-0.4,-2.74,-4.54,-10.08,5.17,54.46
801014.SI,饲料,农林牧渔,17,2026-06-11,3450.23,0.52,0.55,-1.25,-5.52,-11.7,2.14,17.39
801037.SI,橡胶,基础化工,17,2026-06-11,5081.73,0.51,5.15,0.68,-3.97,-7.59,2.12,52.73
801951.SI,煤炭开采,煤炭,30,2026-06-11,3811.77,0.36,-5.19,-6.34,3.96,6.21,18.43,153.97
801115.SI,照明设备Ⅱ,家用电器,12,2026-06-11,5113.67,0.31,0.3,-2.93,-2.69,3.08,1.34,17.32
801153.SI,医疗器械,医药生物,129,2026-06-11,5624.0,0.2,-0.69,-3.33,-7.88,-10.86,6.9,175.85
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801125.SI,白酒Ⅱ,食品饮料,19,2026-06-11,36488.43,0.19,0.62,-0.45,-1.76,-7.08,1.82,105.6
801721.SI,房屋建设Ⅱ,建筑装饰,8,2026-06-11,2968.01,0.17,0.9,-0.87,-2.61,-7.93,3.92,25.35
801116.SI,家电零部件Ⅱ,家用电器,30,2026-06-11,7511.83,0.08,-2.19,-3.63,-7.8,-10.99,4.43,98.99
801127.SI,饮料乳品,食品饮料,26,2026-06-11,6850.78,0.04,0.24,-3.88,-3.82,-9.85,2.77,34.91
801161.SI,电力,公用事业,102,2026-06-11,3524.48,0.02,-1.16,-7.15,-5.12,-3.55,68.11,576.82
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-11,1963.93,-0.0,1.82,5.22,6.89,3.89,12.97,90.61
801784.SI,城商行Ⅱ,银行,17,2026-06-11,1065.07,-0.11,2.67,4.09,5.27,1.34,7.98,75.0
801017.SI,养殖业,农林牧渔,23,2026-06-11,2431.97,-0.17,0.51,-1.36,-5.58,-16.63,5.53,48.61
801735.SI,光伏设备,电力设备,64,2026-06-11,6510.16,-0.2,2.13,-6.14,-14.78,-11.37,23.76,480.16
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801181.SI,房地产开发,房地产,88,2026-06-11,2239.17,-0.27,-0.39,-3.58,-5.86,-12.25,37.03,208.31
801033.SI,化学原料,基础化工,57,2026-06-11,3334.74,-0.27,1.2,-0.59,-2.73,-10.01,17.03,250.61
